French,English
"● Archivées","",2,"veille/detail_veille.html"
"● Terminées","",2,"veille/detail_veille.html"
"● À faire","",2,"veille/detail_veille.html"
"""Clean old"" supprime les KRI archivés depuis plus de 90 jours.","",1,"kri/archives.html"
"""L'excellence de cette solution se voit dans chaque détail.                              Une véritable différence pour notre gouvernance d'entreprise.""","",1,"home copie 3.html"
"""La plateforme a transformé notre approche du contrôle interne.                              L'interface est d'une élégance rare et les fonctionnalités sont exceptionnelles.""","",1,"home copie 3.html"
"""La plateforme a transformé notre approche du contrôle interne.                              La cartographie des risques et les indicateurs KRI nous ont permis d'anticiper les problèmes avant qu'ils ne surviennent.""","",1,"home.html"
"""Une solution qui allie parfaitement design élégant et fonctionnalités puissantes.                              Le service client est exceptionnel.""","",1,"home copie 3.html"
"1 - Faible","",1,"audit/detail_audit copie.html"
"3D visualization","",1,"landing.html"
"5 - Critique","",1,"audit/detail_audit copie.html"
"50GB of storage","",1,"home copie 2.html"
"5GB of storage","",1,"home copie 2.html"
"ARCHIVÉ","",1,"logigramme/archive_logigrammes.html"
"Access and permission management","",1,"audit/checklist.html"
"Account information","",1,"super_admin/my_profile.html"
"Accounting department","",1,"admin/service_form.html"
"Accès","",1,"landing.html"
"Accès Sécurisé | FK Corporate Intelligence Group","",1,"auth/login_fullscreen.html"
"Accès:","",1,"questionnaire/editer.html"
"Activé le","",1,"super_admin/client_detail.html"
"Add a comment","",1,"veille/liste.html"
"Add a new action","",1,"veille/liste.html"
"Add the first sub-action","",1,"audit/detail_plan_action.html"
"Additional information","",1,"cartographie/risque_detail.html"
"Advanced configuration","",1,"questionnaire/nouveau.html"
"Alerts Requiring Attention","",1,"dashboard copie 2.html"
"All risks will be updated with new management/department","",1,"cartographie/form.html"
"Archivées","",1,"veille/detail_veille.html"
"Are you sure you want to delete le fichier ""","",1,"audit/rapports.html"
"Arrêté","",1,"veille/form.html"
"Automated documentation","",1,"landing.html"
"Campaign evaluation","",1,"cartographie/evaluer_tous.html"
"Cash management","",1,"audit/checklist.html"
"Category Description","",1,"questionnaire/editer.html"
"Ce risque apparaîtra dans l'onglet ""Associated Risks"" de l'audit","",1,"audit/detail_audit.html"
"Check a customer's usage","",1,"super_admin/control_panel.html"
"Clôturer","",1,"cartographie/detail.html"
"Color Customization","",1,"admin/parametres_evaluation.html"
"Commentaires internes pour l","",1,"audit/detail_audit.html"
"Company image","",1,"cartographie/risque_form copie.html"
"Conflict management","",1,"audit/checklist.html"
"Covers all risks of a management","",1,"cartographie/form.html"
"Create the first environment","",1,"super_admin/client_detail.html"
"Créateur","",1,"cartographie/archives.html"
"Créé par","",1,"questionnaire/lien.html"
"Créée par :","",1,"veille/detail_veille.html"
"Current configuration","",1,"admin/parametrage/parametrage_risque.html"
"Data protection","",1,"audit/checklist.html"
"Debug information","",1,"super_admin/control_panel.html"
"Description de l","",1,"veille/liste.html"
"Direction of evaluation","",1,"kri/detail.html"
"Directive","",1,"veille/form.html"
"Durée:","",1,"questionnaire/detail_reponse.html"
"Déconnexion","",1,"base.html"
"Décret","",1,"veille/form.html"
"Décrivez brièvement l","",1,"logigramme/nouveau_logigramme.html"
"Décrivez l","",1,"kri/form.html"
"Délai :","",1,"audit/detail_audit.html"
"Délimitation du périmètre d","",1,"audit/form_audit.html"
"Error loading configuration","",1,"cartographie/risque_detail.html"
"Ex: Mettre en place un suivi régulier des plans d","",1,"admin/recommandations_globales.html"
"Ex: Risk mapping - Financial Department","",1,"cartographie/form.html"
"Expire le","",1,"super_admin/client_detail.html"
"File Configuration","",1,"admin/parametrage/parametrage_fichiers.html"
"Financial Department","",1,"admin/direction_form.html"
"Fixed asset management","",1,"audit/checklist.html"
"Force synchronization","",1,"admin/gerer_permissions.html"
"Full customization","",1,"home copie 2.html"
"General Conclusion","",1,"audit/rapport_complet.html"
"General Management","",1,"admin/direction_form.html"
"Generate the Bordeaux table","",1,"cartographie/form copie.html"
"Gravité :","",1,"audit/detail_audit.html"
"Gravité:","",1,"audit/configurations.html"
"Gérer","",1,"audit/rapport_complet.html"
"IT Department","",1,"admin/service_form.html"
"IT security, infrastructure, development","",1,"audit/checklist.html"
"Immédiat (>1 mois)","",1,"audit/detail_audit.html"
"Impact Élevé","",1,"veille/liste.html"
"Import a configuration","",1,"admin/parametrage/parametrage_risque.html"
"Import configuration","",1,"admin/parametrage/parametrage_risque.html"
"Improve subscription","",1,"client_admin/usage.html"
"Incident management","",1,"audit/checklist.html"
"Indépendant","",1,"kri/liste.html"
"Intelligent anomaly detection","",1,"home copie 3.html"
"Key Information","",1,"audit/dashboard.html"
"Laisser ""Sans client"" pour les super admins","",1,"super_admin/editer_utilisateur.html"
"Legal Department","",1,"admin/service_form.html"
"Les catégories ""Document"", ""Image"", ""Analyse"" et ""Autre"" sont des catégories système et ne peuvent pas être supprimées.","",1,"admin/parametrage/parametrage_fichiers.html"
"Les drop-down lists sont utilisées pour les champs de type ""select"", ""multiselect"" et ""radio"".","",1,"admin/parametrage/parametrage_listes.html"
"Make sure the code is unique","",1,"questionnaire/importer.html"
"Manage my subscription","",1,"public/pricing.html"
"Managers have access to complete risk management","",1,"gestionnaire/creer_utilisateur.html"
"Measuring customer satisfaction","",1,"audit/checklist.html"
"Mes données","",1,"super_admin/control_panel.html"
"Mode ""Mes données""","",1,"super_admin/control_panel.html"
"Modifié","",1,"logigramme/liste_logigrammes.html"
"Modèle IA:","",1,"audit/resultat_analyse_ia.html"
"Mon profil","",1,"base.html"
"Métadonnées","",1,"kri/detail.html"
"Méthode:","",1,"errors/500.html"
"Name of management","",1,"admin/direction_form.html"
"Nettoyage","",1,"cartographie/risques_archives.html"
"New Audit Configuration","",1,"audit/form_configuration.html"
"New Configuration","",1,"audit/configurations.html"
"New assessment","",1,"cartographie/risque_detail.html"
"New sub-action","",1,"audit/detail_plan_action.html"
"No details available","",1,"audit/journal.html"
"No quick actions available","",1,"base.html"
"Non modifiable sur votre propre compte","",1,"client_admin/editer_utilisateur.html"
"Objectifs spécifiques de cette campagne d","",1,"cartographie/nouvelle_campagne.html"
"Parameters Evaluation","",1,"base.html"
"Paramètres","",1,"questionnaire/lien.html"
"Pattern recognition","",1,"home copie 3.html"
"Payroll administration","",1,"audit/checklist.html"
"Permanent deletion","",1,"logigramme/archive_logigrammes.html"
"Permissions information","",1,"admin/utilisateurs_readonly.html"
"Plein écran","",1,"cartographie/matrice_risque.html"
"Priorité :","",1,"audit/detail_audit.html"
"Process documentation","",1,"audit/checklist.html"
"Périmètre","",1,"audit/form_audit.html"
"Période :","",1,"veille/calendrier.html"
"Quality Department","",1,"admin/service_form.html"
"Quality processes, certifications, continuous improvement","",1,"audit/checklist.html"
"Quality risk management","",1,"audit/checklist.html"
"Question","",1,"questionnaire/editer.html"
"Questionnaire Management","",1,"questionnaire/liste.html"
"Questionnaire information","",1,"questionnaire/lien.html"
"Recommendations for continuous improvement","",1,"audit/rapport_complet.html"
"Related recommendation","",1,"audit/rapport_complet.html"
"Respondent Information","",1,"questionnaire/detail_reponse.html"
"Response information","",1,"questionnaire/detail_reponse.html"
"Responsible for coordination","",1,"audit/form_audit.html"
"Restore this action","",1,"veille/archives_actions.html"
"Return to home page","",1,"auth/login_fullscreen.html"
"Risk Management","",1,"gestionnaire/gerer_permissions.html"
"Risk prediction","",1,"landing.html"
"Risks Requiring Immediate Attention","",1,"dashboard copie 2.html"
"Réalisation","",1,"audit/rapport_complet.html"
"Réponses:","",1,"questionnaire/detail_reponse.html"
"Réputation:","",1,"cartographie/risque_form copie.html"
"Sales Management","",1,"admin/direction_form.html"
"Save configuration","",1,"admin/parametrage/parametrage_fichiers.html"
"Secure storage","",1,"admin/parametrage/parametrage_risque.html"
"Select the person responsible for this department","",1,"admin/direction_form.html"
"Set a realistic estimated duration","",1,"questionnaire/nouveau.html"
"Staff assessment","",1,"audit/checklist.html"
"Start the assessment","",1,"cartographie/detail.html"
"Summary of the Recommendation","",1,"audit/detail_audit.html"
"Super Admin - User Management","",1,"admin/utilisateurs_super_admin.html"
"Super admin management","",1,"super_admin/my_profile.html"
"Swagger Documentation","",1,"landing.html"
"Synthèse","",1,"rapports_audit.html"
"System administration","",1,"admin/gerer_permissions.html"
"Sécurité :","",1,"super_admin/client_detail.html"
"Technical Direction","",1,"admin/direction_form.html"
"Test fields after creation","",1,"admin/parametrage/parametrage_risque.html"
"Texte de l","",1,"questionnaire/editer.html"
"The customer must change their password upon first connection","",1,"super_admin/client_detail.html"
"The name cannot be changed after creation","",1,"super_admin/client_detail.html"
"Training and development","",1,"audit/checklist.html"
"Tâches","",1,"audit/rapport_complet.html"
"Unlimited storage","",1,"home copie 2.html"
"Unsynchronized permission","",1,"super_admin/formules/editer.html"
"Utilisez le","",1,"admin/parametrage/parametrage_risque.html"
"Validité","",1,"landing.html"
"View their information","",1,"admin/utilisateurs_readonly.html"
"View/edit comment","",1,"veille/liste.html"
"Visibilité","",1,"questionnaire/lien.html"
"Voir dans l","",1,"audit/dashboard.html"
"Voir/Éditer","",1,"gestionnaire/utilisateurs.html"
"Votre nom d","",1,"login.html"
"Votre vue:","",1,"includes/client_view_selector.html"
"Warning: Dangerous action","",1,"cartographie/archives.html"
"approprié","",1,"admin/parametrage/parametrage_risque.html"
"creation_constatation","",1,"audit/journal.html"
"creation_plan_action","",1,"audit/journal.html"
"creation_recommandation","",1,"audit/journal.html"
"direction","",1,"cartographie/form.html"
"e.g. Human Resources Department","",1,"client_admin/creer_gestionnaire.html"
"ex: Risk Department","",1,"client_admin/creer_utilisateur.html"
"faible","",1,"veille/liste.html"
"fusion","",1,"admin/parametrage/parametrage_risque.html"
"graphique","",1,"kri/detail.html"
"modification_constatation","",1,"audit/journal.html"
"modification_plan_action","",1,"audit/journal.html"
"modification_recommandation","",1,"audit/journal.html"
"modules available","",1,"errors/formule_restricted.html"
"niveau_critique","",1,"cartographie/detail.html"
"nouveau_plan_action","",1,"audit/notifications.html"
"nouvelle_constatation","",1,"audit/notifications.html"
"nouvelle_recommandation","",1,"audit/notifications.html"
"obligatoire","",1,"admin/parametrage/parametrage_risque.html"
"privé","",1,"questionnaire/lien.html"
"process_management","",1,"super_admin/formules/editer.html"
"section","",1,"admin/parametrage/parametrage_risque.html"
"to be accessible","",1,"questionnaire/lien.html"
"validation","",1,"audit/journal.html"
"Âge","",1,"logigramme/archive_logigrammes.html"
"Échéance :","",1,"audit/detail_audit.html"
"Échéances","",1,"notifications/liste.html"
"État :","",1,"audit/dashboard.html"
french,english
Description,Description
Critique,Critical
Faible,Low
Élevé,High
Responsable,Responsible
Non évalué,Not evaluated
Catégorie,Category
Référence,Reference
Non assigné,Not assigned
Non définie,Not defined
Terminé,Completed
Direction,Directorate
Administration,Administration
Rôle,Role
Identique,Identical
Créé le,Created on
Département,Department
Intitulé,Title
Probabilité,Probability
Conformité,Compliance
Recommendation,Recommendation
Retardé,Delayed
Éléments,Items
Last connection,Last connection
Sécurité,Security
En action,In progress
Observation,Observation
RÉFÉRENCE,REFERENCE
À analyser,To be analyzed
À valider,To be validated
Échéance,Due date
User management,User management
Amélioration,Improvement
Corrective,Corrective
Gravité,Severity
INTITULÉ,TITLE
No recommendation,No recommendation
Précédent,Previous
Préventive,Preventive
Confirmation,Confirmation
Risk Distribution,Risk Distribution
CATÉGORIE,CATEGORY
Certifié,Certified
General Information,General Information
Prioritization,Prioritization
Période,Period
Select a direction,Select a directorate
Validation,Validation
Voir détail,View detail
All risks require attention,All risks require attention
Archivé,Archived
Criticité,Criticality
Documentation,Documentation
New Recommendation,New Recommendation
Référence:,Reference:
amelioration,improvement
Affectation,Assignment
Carrières,Careers
Confirm deletion,Confirm deletion
Créer KRI,Create KRI
Créé le :,Created on:
Début,Start
Immédiat,Immediate
Libellé *,Label *
Position,Position
Pre-assessment,Pre-assessment
User deletion,User deletion
À faire,To do
À propos,About
À traiter,To be processed
Audit Management,Audit Management
Classique,Classic
Détails,Details
Référence :,Reference:
Télécharger,Download
critique,critical
À évaluer,To be evaluated
Bordeaux table,Bordeaux table
Cartography Information,Cartography Information
Coché,Checked
Create the recommendation,Create the recommendation
Créée le,Created on
Demonstration,Demonstration
Fonction,Function
Gravité *,Severity *
Intitulé:,Title:
No data available,No data available
Opportunity for improvement,Opportunity for improvement
Organization,Organization
Phase 1 - Pre-assessment,Phase 1 - Pre-assessment
Phase 2 - Validation,Phase 2 - Validation
Phase 3 - Confirmation,Phase 3 - Confirmation
Prénom *,First name *
Réponse:,Response:
Téléphone,Phone
Témoignages,Testimonials
User information,User information
observation,observation
ÉVALUATION,EVALUATION
Élevés,High
Action,Action
Configuration,Configuration
Continuous improvement,Continuous improvement
Crée le:,Created on:
Fin prévue,Scheduled end
Obligatoire,Mandatory
Progression,Progression
Utilisation,Usage
Vous,You
corrective,corrective
preventive,preventive
Évaluer,Evaluate
Catégorie:,Category:
Constatation,Finding
Créer un KRI,Create a KRI
Date début,Start date
Deletion confirmation,Deletion confirmation
Document,Document
General information,General information
Long description,Long description
Légende,Legend
Modifié le:,Modified on:
No description,No description
Not applicable,Not applicable
Percentage of achievement,Percentage of achievement
Pourcentage,Percentage
Process optimization,Process optimization
Risk reduction,Risk reduction
Références,References
Status & Advancement,Status & Advancement
Terminée,Completed
User Management,User Management
Éditer,Edit
Contrôle,Control
Description détaillée de l,Detailed description of
Edit Element,Edit Element
Fréquence,Frequency
Fréquence:,Frequency:
Graphique,Graph
Remove selection,Remove selection
Saisissez le libellé de l,Enter the label of
Sélection,Selection
Séparation,Separation
Terminées,Completed
Téléverser,Upload
Unit of measurement,Unit of measurement
document,document
en_action,in_progress
État,Status
"L'intégration de l'IA pour l'analyse des risques nous made it possible to identify des patterns que nous aurions manqués manuellement.","The integration of AI for risk analysis enabled us to identify patterns we would have missed manually."
123 Avenue des Champs-Élysées, 75008 Paris,France,123 Avenue des Champs-Élysées, 75008 Paris, France
Abandonné,Abandoned
Abandonnées,Abandoned
Abrogé,Repealed
Accès :,Access:
Active,Active
Ajouté le,Added on
Analytique,Analytical
Anomaly Detection,Anomaly Detection
Archivé le,Archived on
Archivée,Archived
Archivée le,Archived on
Archivés,Archived
Associate management,Associate management
CRITIQUE,CRITICAL
Campaign objective,Campaign objective
Catégorie :,Category:
Cette année,This year
Comment Pre-assessment,Comment Pre-assessment
Comment Validation,Comment Validation
Complete the assessment,Complete the assessment
Complètes,Complete
Crée par:,Created by:
Crée le:,Created on:
Customer information,Customer information
Date de fin,End date
Date début :,Start date:
Durée :,Duration:
Début prévu,Scheduled start
Début réel,Actual start
Dédié 24/7,Dedicated 24/7
EXCLUSIVE PRESENTATION,EXCLUSIVE PRESENTATION
Edit recommendation,Edit recommendation
Export configuration,Export configuration
Fin réelle,Actual end
Final Comment,Final Comment
Final Confirmation,Final Confirmation
Flowchart Information,Flowchart Information
IA Avancée,Advanced AI
Image,Image
In confirmation,In confirmation
In pre-assessment,In pre-assessment
In validation,In validation
Intelligent automation,Intelligent automation
Interpretation,Interpretation
No measurement,No measurement
No reviews available,No reviews available
No statistical data available,No statistical data available
No users available,No users available
Nom affiché,Display name
Notre siège,Our headquarters
Personal information,Personal information
Planifié,Scheduled
Preview not available,Preview not available
Priorité,Priority
Professional Level Business Solution,Professional Level Business Solution
Qualité,Quality
Referent Pre-assessment,Referent Pre-assessment
Regulation,Regulation
Require immediate action,Require immediate action
Result of the Pre-assessment,Result of the Pre-assessment
Satisfaction,Satisfaction
Simplified collaboration,Simplified collaboration
Société *,Company *
Standard Monitoring - Documentation,Standard Monitoring - Documentation
Summary of the Evaluation,Summary of the Evaluation
THREE-PHASE RISK ASSESSMENT,THREE-PHASE RISK ASSESSMENT
Terminés,Completed
The score will appear after selection,The score will appear after selection
Three Phase Risk Assessment,Three Phase Risk Assessment
Unacceptable risk - Urgent treatment,Unacceptable risk - Urgent treatment
Unité:,Unit:
Validé,Validated
Your account is active,Your account is active
image,image
À revoir,To be reviewed
Évaluateur,Evaluator
↲ Pre-assessment,↲ Pre-assessment
Add a document,Add a document
Add recommendation,Add recommendation
Annulé,Cancelled
Automated Bordeaux table,Automated Bordeaux table
Avancement,Progress
Catégories,Categories
Certified documentation,Certified documentation
Code unique,Unique code
Critères :,Criteria:
Département:,Department:
Edit user information,Edit user information
First Recommendation,First Recommendation
Historique,History
Indépendants,Independent
Information,Information
Mon Profil,My Profile
Nom du plan d,Name of the plan
Portée,Scope
Portée :,Scope:
Restorable,Restorable
Réessayer,Retry
Rôle :,Role:
Éléments:,Items:
Évalué,Evaluated

Création,1. Creation
123 Avenue des Champs-Élysées,123 Avenue des Champs-Élysées
3 - Modéré:,3 - Moderate:
Exécution,3. Execution
Clôture,4. Closure
API integration,API integration
ASSOCIÉ VIA,ASSOCIATED VIA
Abonnement,Subscription
Accès rapide,Quick access
Active section,Active section
Activité,Activity
Activités,Activities
Activé,Activated
Activée,Activated
Add a sub-action,Add a sub-action
Add actions for this regulation,Add actions for this regulation
Add an environment,Add an environment
Add an overall recommendation,Add an overall recommendation
Add at least 2 measurements to see the evolution,Add at least 2 measurements to see the evolution
Add documents relating to this regulation,Add documents relating to this regulation
Add some from the administration,Add some from the administration
Ajouté par,Added by
All data will be retained but inaccessible,All data will be retained but inaccessible
All those responsible,All those responsible
Archived KRIs will appear in this section,Archived KRIs will appear in this section
Archivé le:,Archived on:
Archivé par,Archived by
Audit Configuration,Audit Configuration
Audit Creation,Audit Creation
Audits Available,Audits Available
Automatic Bordeaux table,Automatic Bordeaux table
Automatique,Automatic
Basic information,Basic information
CRÉATION,CREATION
Catégories:,Categories:
Change Direction,Change Direction
Change of recommendation,Change of recommendation
Choix unique,Single choice
Choose the plan that best suits your organization,Choose the plan that best suits your organization
Cliquez sur "Add a file" pour joindre des documents aux rapports d'audit,Click "Add a file" to attach documents to audit reports
Cliquez sur "New Audit" pour initier un nouveau programme d'audit.,Click "New Audit" to initiate a new audit program.
Clôturés,Closed
Collaboration,Collaboration
Commentaires sur l,Comments on the
Confirm Final Evaluation,Confirm Final Evaluation
Confirmée,Confirmed
Consultation permission,Consultation permission
Context and description,Context and description
Create a recommendation,Create a recommendation
Create direction,Create direction
Create the environment,Create the environment
Creation of recommendation,Creation of recommendation
Critères:,Criteria:
Création,Creation
Créer,Create
Customer satisfaction,Customer satisfaction
Data management,Data management
Date Application,Date Application
Date début:,Start date:
Deletable,Deletable
Describe the regulatory or normative requirement,Describe the regulatory or normative requirement
Différence,Difference
Discover the modules that make the difference for your organization,Discover the modules that make the difference for your organization
Documentary information,Documentary information
Données JSON,JSON Data
Durée,Duration
Dédié,Dedicated
Dépendances,Dependencies
Désactiver,Deactivate
Désactivé,Deactivated
Désactivée,Deactivated
Détail,Detail
Détails :,Details:
Edit measurement,Edit measurement
Edit my information,Edit my information
Edit requirement,Edit requirement
Edit sub-action,Edit sub-action
Entité,Entity
Exceptional, almost impossible,Exceptional, almost impossible
Excessive subjectivity in assessment,Excessive subjectivity in assessment
FAIBLE,LOW
Feature not available,Feature not available
File configuration,File configuration
First assessment,First assessment
First select a direction,First select a directorate
Formula or method of calculation,Formula or method of calculation
Formulas available,Formulas available
Full description,Full description
General administration,General administration
Général,General
Human Resources Department,Human Resources Department
Illimité,Unlimited
Immediate action,Immediate action
Impact élevé,High impact
In preparation,In preparation
Inactive,Inactive
Incomplete assessment,Incomplete assessment
Information from Management,Information from Management
Informatique,IT
Initial risk identification,Initial risk identification
Intelligent Automation,Intelligent Automation
KRI Associé,Associated KRI
KRI créés,KRI created
Last measurement,Last measurement
Légal,Legal
Mandatory question,Mandatory question
Module inactive,Module inactive
Module lié,Linked module
Médiane,Median
NLP Avancé,Advanced NLP
Navigation,Navigation
New Assessment,New Assessment
New Management,New Management
New question,New question
No active action,No active action
No active direction,No active directorate
No active subscription,No active subscription
No audit available,No audit available
No description available,No description available
No environment,No environment
No fields in this section,No fields in this section
No late action,No late action
No listeners available,No listeners available
No maps available,No maps available
No scheduled action,No scheduled action
Nom de l,Name of the
Nom du Plan,Plan Name
Nom du plan,Plan name
Non-sync permission,Non-sync permission
Nos Clients,Our Clients
Option,Option
Opérations,Operations
Overview of your risk management,Overview of your risk management
PDF Current Assessment,PDF Current Assessment
PROGRESSION,PROGRESSION
Par défaut,Default
Paramétrage,Parameter settings
Partagé,Shared
Permission,Permission
Plan Information,Plan Information
Plus récent,Latest
Potential impacts on the organization,Potential impacts on the organization
Previous page,Previous page
Privé,Private
Production,Production
Pré-éval,Pre-eval
Préférences,Preferences
Prénom,First name
Prêt à,Ready to
Quick Connection,Quick Connection
Recommandé,Recommended
Requires immediate action,Requires immediate action
Risk Assessment,Risk Assessment
Risk Identification,Risk Identification
Risk Information,Risk Information
Risk distribution,Risk distribution
RÉPONSES,RESPONSES
Réactiver,Reactivate
Réponses,Responses
Rôle *,Role *
Rôle:,Role:
Rôles,Roles
Santé,Health
Save Assessment,Save Assessment
Save the Pre-assessment,Save the Pre-assessment
Secure environment • Demo data • No obligation,Secure environment • Demo data • No obligation
Secure environment • Test data • Premium support • No obligation,Secure environment • Test data • Premium support • No obligation
See our platform in action,See our platform in action
See the recommendation,See the recommendation
Select an option,Select an option
Service Information,Service Information
Session,Session
Single selection,Single selection
Solution,Solution
Sous-état,Sub-state
Stockage,Storage
Summary by Direction,Summary by Directorate
Super Admin Management,Super Admin Management
Superior plans available,Superior plans available
Supporting comment,Supporting comment
Sur mesure,Custom-made
Systematic overestimation,Systematic overestimation
Système,System
TITLE & DESCRIPTION,TITLE & DESCRIPTION
Tapez "SUPPRIMER" pour confirmer :,Type "DELETE" to confirm:
Technical information,Technical information
Temps Réel,Real Time
The flowcharts you archive will appear in this section,The flowcharts you archive will appear in this section
Tips for Quality Assessment,Tips for Quality Assessment
Title & Description,Title & Description
Triphase Assessment,Triphase Assessment
Type of Association,Type of Association
Types of checklists available,Types of checklists available
Tâche,Task
Une copie exacte sera créée avec le statut "inactif".,An exact copy will be created with the "inactive" status.
VISIBILITÉ,VISIBILITY
Validate the Assessment,Validate the Assessment
Validation and adjustment,Validation and adjustment
Validée,Validated
Visualization,Visualization
Voir le KRI,View the KRI
Votre nom,Your name
Vous-même,Yourself
You can modify your personal information,You can modify your personal information
Your information,Your information
non_applicable,not_applicable
ÉLEVÉ,HIGH
Échelle,Scale
Échelle max,Max scale
Échelle min,Min scale
Évaluation,Evaluation
• Collegial validation,• Collegial validation
• Complete documentation,• Complete documentation
• Final consolidation,• Final consolidation
• Reporting integration,• Reporting integration
● Archivées,● Archived
● Terminées,● Completed
● À faire,● To do
"Clean old" supprime les KRI archivés depuis plus de 90 jours.,"Clean old" deletes KRIs archived for more than 90 days.
"L'excellence de cette solution se voit dans chaque détail. Une véritable différence pour notre gouvernance d'entreprise.","The excellence of this solution is evident in every detail. A real difference for our corporate governance."
"La plateforme a transformé notre approche du contrôle interne. L'interface est d'une élégance rare et les fonctionnalités sont exceptionnelles.","The platform has transformed our approach to internal control. The interface is of rare elegance and the functionalities are exceptional."
"La plateforme a transformé notre approche du contrôle interne. La cartographie des risques et les indicateurs KRI nous ont permis d'anticiper les problèmes avant qu'ils ne surviennent.","The platform has transformed our approach to internal control. Risk mapping and KRI indicators have allowed us to anticipate problems before they arise."
"Une solution qui allie parfaitement design élégant et fonctionnalités puissantes. Le service client est exceptionnel.","A solution that perfectly combines elegant design and powerful functionality. Customer service is exceptional."
1 - Faible,1 - Low
3D visualization,3D visualization
5 - Critique,5 - Critical
50GB of storage,50GB of storage
5GB of storage,5GB of storage
ARCHIVÉ,ARCHIVED
Access and permission management,Access and permission management
Account information,Account information
Accounting department,Accounting department
Accès,Access
Accès Sécurisé | FK Corporate Intelligence Group,Secure Access | FK Corporate Intelligence Group
Accès:,Access:
Activé le,Activated on
Add a comment,Add a comment
Add a new action,Add a new action
Add the first sub-action,Add the first sub-action
Additional information,Additional information
Advanced configuration,Advanced configuration
Alerts Requiring Attention,Alerts Requiring Attention
All risks will be updated with new management/department,All risks will be updated with new management/department
Archivées,Archived
Are you sure you want to delete le fichier ",Are you sure you want to delete the file "
Arrêté,Order
Automated documentation,Automated documentation
Campaign evaluation,Campaign evaluation
Cash management,Cash management
Category Description,Category Description
Ce risque apparaîtra dans l'onglet "Associated Risks" de l'audit,This risk will appear in the "Associated Risks" tab of the audit
Check a customer's usage,Check a customer's usage
Clôturer,Close
Color Customization,Color Customization
Commentaires internes pour l,Internal comments for the
Company image,Company image
Conflict management,Conflict management
Covers all risks of a management,Covers all risks of a management
Create the first environment,Create the first environment
Créateur,Creator
Créé par,Created by
Créée par :,Created by:
Current configuration,Current configuration
Data protection,Data protection
Debug information,Debug information
Description de l,Description of the
Direction of evaluation,Evaluation Directorate
Directive,Directive
Durée:,Duration:
Déconnexion,Logout
Décret,Decree
Décrivez brièvement l,Briefly describe the
Décrivez l,Describe the
Délai :,Deadline:
Délimitation du périmètre d,Delimitation of the scope of
Error loading configuration,Error loading configuration
Ex: Mettre en place un suivi régulier des plans d,Ex: Implement regular monitoring of plans
Ex: Risk mapping - Financial Department,Ex: Risk mapping - Financial Department
Expire le,Expires on
File Configuration,File Configuration
Financial Department,Financial Department
Fixed asset management,Fixed asset management
Force synchronization,Force synchronization
Full customization,Full customization
General Conclusion,General Conclusion
General Management,General Management
Generate the Bordeaux table,Generate the Bordeaux table
Gravité :,Severity:
Gravité:,Severity:
Gérer,Manage
IT Department,IT Department
IT security, infrastructure, development,IT security, infrastructure, development
Immédiat (>1 mois),Immediate (>1 month)
Impact Élevé,High Impact
Import a configuration,Import a configuration
Import configuration,Import configuration
Improve subscription,Improve subscription
Incident management,Incident management
Indépendant,Independent
Intelligent anomaly detection,Intelligent anomaly detection
Key Information,Key Information
Laisser "Sans client" pour les super admins,Leave "Without client" for super admins
Legal Department,Legal Department
Les catégories "Document", "Image", "Analyse" et "Autre" sont des catégories système et ne peuvent pas être supprimées.,The categories "Document", "Image", "Analysis" and "Other" are system categories and cannot be deleted.
Les drop-down lists sont utilisées pour les champs de type "select", "multiselect" et "radio".,Drop-down lists are used for fields of type "select", "multiselect" and "radio".
Make sure the code is unique,Make sure the code is unique
Manage my subscription,Manage my subscription
Managers have access to complete risk management,Managers have access to complete risk management
Measuring customer satisfaction,Measuring customer satisfaction
Mes données,My data
Mode "Mes données","My Data" mode
Modifié,Modified
Modèle IA:,AI Model:
Mon profil,My profile
Métadonnées,Metadata
Méthode:,Method:
Name of management,Management name
Nettoyage,Cleaning
New Audit Configuration,New Audit Configuration
New Configuration,New Configuration
New assessment,New assessment
New sub-action,New sub-action
No details available,No details available
No quick actions available,No quick actions available
Non modifiable sur votre propre compte,Not modifiable on your own account
Objectifs spécifiques de cette campagne d,Specific objectives of this campaign
Parameters Evaluation,Parameters Evaluation
Paramètres,Parameters
Pattern recognition,Pattern recognition
Payroll administration,Payroll administration
Permanent deletion,Permanent deletion
Permissions information,Permissions information
Plein écran,Full screen
Priorité :,Priority:
Process documentation,Process documentation
Périmètre,Scope
Période :,Period:
Quality Department,Quality Department
Quality processes, certifications, continuous improvement,Quality processes, certifications, continuous improvement
Quality risk management,Quality risk management
Question,Question
Questionnaire Management,Questionnaire Management
Questionnaire information,Questionnaire information
Recommendations for continuous improvement,Recommendations for continuous improvement
Related recommendation,Related recommendation
Respondent Information,Respondent Information
Response information,Response information
Responsible for coordination,Responsible for coordination
Restore this action,Restore this action
Return to home page,Return to home page
Risk Management,Risk Management
Risk prediction,Risk prediction
Risks Requiring Immediate Attention,Risks Requiring Immediate Attention
Réalisation,Achievement
Réponses:,Responses:
Réputation:,Reputation:
Sales Management,Sales Management
Save configuration,Save configuration
Secure storage,Secure storage
Select the person responsible for this department,Select the person responsible for this department
Set a realistic estimated duration,Set a realistic estimated duration
Staff assessment,Staff assessment
Start the assessment,Start the assessment
